#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
73,"Muddy Waters","LP",52,125,"la pop, women's music","Pop, Folk/Acoustic","Lost On You",2016-12-09,03:47,57,47,39,0,25,0,30,-8,G#/A♭ Minor,4,2024-01-15,6pWiTLDsl5dBEMrzUFMrIe,"BMG Rights Management (US) LLC",1A,https://p.scdn.co/mp3-preview/c98934066eeaf15c60c1295994615ab1ac6c3ff2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af9276f7c7faec1beee16dc8
74,"Facing the Past","Anne Sophie Versnaeyen,Gabriel Saban",48,80,"epicore","Classical","Soul Stories 2 (Emotional Orchestral Drama Tracks)",2019-12-16,02:39,41,52,36,40,9,0,0,-10,C Minor,4,2024-01-15,6dBc15iKEhTBqbmFHZD4uM,"Cezame Trailers",5A,https://p.scdn.co/mp3-preview/e84e71ae09a91dc3025d8b18f5ffce76ca50aaff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851097dd649e2863ef9c1b0656e
75,"Sevmekten Usanmam","Pinhani",62,79,"oyun havasi, turkish pop, turkish rock","Pop, Rock","Zaman Beklemez",2008-04-18,03:52,33,59,69,0,27,0,30,-7,C Major,4,2024-01-15,4xKYhrGZbsvhTJROWc8Aye,"BEĞENİ MÜZİK YAPIM",8B,https://p.scdn.co/mp3-preview/58883a24926d6681bbe782ec8672f8e4023457eb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515535b37249d4346ef1f80113
76,"Side by Side","Layup",41,101,"","","Layup - EP",2017-03-17,03:48,53,67,59,81,25,0,0,-8,D Major,4,2024-01-15,6xjsrtaAdf7CrZ4u3IaZ18,"Blackwatch Records",10B,https://p.scdn.co/mp3-preview/2831204047d90db6043b6359f0f78930b6d9fc6e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db0d16447a740b5acba8c65f
77,"Let's Hurt Tonight","OneRepublic",61,62,"piano rock, pop","Rock, Pop","Oh My My",2016-12-02,03:14,36,71,33,0,27,0,30,-5,F Major,4,2024-01-15,05sCp83gcMm1iecYydKJS3,"Mosley / Interscope",7B,,https://i.scdn.co/image/ab67616d00004851eedabed826eeb6506a4c700d
78,"All I Want","Kodaline",83,187,"irish pop, modern rock","Pop, Rock","In A Perfect World (Expanded Edition)",2013-06-17,05:05,19,41,17,15,16,0,0,-10,C Major,3,2024-01-15,0NlGoUyOJSuSHmngoibVAs,"B-Unique/RCA",8B,https://p.scdn.co/mp3-preview/2dd1a3919a2ff553b9a5c5a1f5fc96f12ea8f1e2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513e42854096da9a3b1ca901c9
79,"Ragged Wood","Fleet Foxes",58,105,"chamber pop, folk, indie folk, indie rock, indietronica, modern rock, seattle indie, singer-songwriter, stomp and holler","Pop, Folk/Acoustic, Rock","Fleet Foxes",2008-06-03,05:07,36,66,11,1,16,0,0,-7,E Major,4,2024-01-15,2qvToeBdYliw6n0nEsKJQa,"Sub Pop Records",12B,https://p.scdn.co/mp3-preview/2ccec5308f6adf9d6cbeee4bc52e3991eca3d016?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513818b4c636e2a7fdea3bf965
80,"Settle Down - Acoustic","Woodlock",62,138,"australian indie folk, indie anthem-folk, modern indie folk","Folk/Acoustic","Settle Down (Acoustic)",2021-07-16,02:45,61,76,25,0,70,0,10,-7,C Major,4,2024-01-15,5TSt0yJteAUApb7X3u5PJl,"Nettwerk Music Group",8B,https://p.scdn.co/mp3-preview/b28e850da441d3c46ae3173dbca68554d9e0135b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d6b5d6f34a1e3baf56f44c6
81,"My Comfort Zone","Luke Morris",48,98,"australian singer-songwriter","Folk/Acoustic","I Remember It Then I Remember It Now",2021-01-07,05:21,68,42,72,1,37,0,30,-9,E Minor,3,2024-01-15,3jeZHRBSSPAOFDqmAG09hT,"Luke Morris",9A,https://p.scdn.co/mp3-preview/ed51bd6631c55beb905b685430a7c60481d44c7b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485179321f2656038833532f2b87
82,"Sweet Hallelujah","Tom Grennan",33,123,"uk pop","Pop","Lighting Matches (Deluxe)",2018-07-06,03:47,47,39,25,0,15,0,10,-8,B Minor,4,2024-01-15,4msuenfPTuk9AcZ8qMQ2v6,"Insanity Records",10A,https://p.scdn.co/mp3-preview/f36f6498ac37d7206b31aad13e04a6121b47a803?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8987d39cc611f9d85aa2dd5
