#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
68,"Some Kind of Heaven","Sleeping At Last",33,129,"ambient worship, chamber pop","New age, Pop","Some Kind of Heaven",2023-04-07,05:10,37,12,95,0,21,0,0,-13,A Major,4,2024-01-15,2lObD7vBRT6ZjyORWDIzLD,"Asteroid B-612",11B,https://p.scdn.co/mp3-preview/7bc994d5b9a4012f96f2add8fa69f8a1bb8efd68?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511714dd8f6cd25ebf95971017
69,"The Worth Of The Wait","Ivan & Alyosha",46,82,"folk-pop, stomp and holler","Pop, Folk/Acoustic","The Worth Of The Wait",2016-09-23,02:51,48,62,84,0,34,0,30,-7,D Major,4,2024-01-15,4ngv7whSPSAwD8ZP3zMHsd,"Dualtone Music Group, Inc.",10B,https://p.scdn.co/mp3-preview/333340618970d1d50a4e3ccff84e3cea5050afa6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851895119e48475512642db9671
70,"Time To Move On","Tom Petty",59,113,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","Wildflowers",1994-10-21,03:15,61,72,8,0,51,0,10,-9,D Major,4,2024-01-15,20dt11ZTAtjsfcNJLP9u30,"143/Warner Records",10B,https://p.scdn.co/mp3-preview/f819163ebaec2a7438d28353bcb2a5da9a84d038?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485141be6d9cf0ec0067d095a072
71,"I Lied (with Allison Ponthier)","Lord Huron,Allison Ponthier",65,104,"indie folk, stomp and holler, modern indie folk","Folk/Acoustic","Long Lost",2021-05-21,03:54,44,27,91,26,14,0,10,-11,F Major,3,2024-01-15,7xQg5QTx8eiQnsxEnfynPh,"Republic Records",7B,,https://i.scdn.co/image/ab67616d000048511c18ab47e15a19af3246a792
72,"Redemption Song","Bob Marley & The Wailers",73,116,"reggae, roots reggae","R&B","Uprising",1980-00-00,03:53,67,26,61,0,69,0,0,-11,G Major,4,2024-01-15,26PwuMotZqcczKLHi4Htz3,"Island Records",9B,,https://i.scdn.co/image/ab67616d000048511c40418d1c37d727e8e91b04
73,"Angie - Remastered 2009","The Rolling Stones",76,136,"album rock, british invasion, classic rock, rock","Rock","Goats Head Soup (Remastered 2009)",1973-08-31,04:32,43,55,67,0,41,0,10,-6,A Minor,4,2024-01-15,1GcVa4jFySlun4jLSuMhiq,"Polydor Records",8A,,https://i.scdn.co/image/ab67616d00004851fa3c4374e2cdd3cc1636c79b
74,"With a Little Help From My Friends","Joe Cocker",0,142,"album rock, blues rock, classic rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","The Wonder Years",1989-10-06,04:17,35,45,24,0,43,0,0,-12,D Major,3,2024-01-15,28My9WIdK2Qwra6u4ENAcf,"Atlantic Records",10B,,https://i.scdn.co/image/ab67616d0000485134ea72c848e376f584a39a59
75,"Bir Derdim Var - Canlı Senfonik","mor ve ötesi",41,121,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Bir Derdim Var (Canlı Senfonik)",2018-12-28,04:16,33,79,4,2,9,0,80,-7,B Minor,4,2024-01-15,0IGAXCD6NlQlNSvuptbjxR,"RAKUN MÜZİK FİLM",10A,https://p.scdn.co/mp3-preview/a3faef5c1496f57f655088d394a5f817a42ef351?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513f4cd25c6ea86c98d54f52b1
76,"One Man Town","Elmore",35,113,"","","One Man Town",2018-11-03,03:37,48,23,93,0,14,0,10,-13,A#/B♭ Minor,4,2024-01-15,3szIleRmnEbpPhUdndVoks,"Elmore",3A,https://p.scdn.co/mp3-preview/2a5392fca0b9d4c9e52cbc6d61dbe90a401ab6e8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a6e5968a783131543ccee429
77,"Stars","Sam Airey",47,119,"pop folk","Folk/Acoustic","In Darkened Rooms",2017-05-26,05:22,47,6,92,0,11,0,10,-18,D Minor,4,2024-01-15,39rXqYJ5vTRmi6kq0JvoiM,"Hide & Seek Records",7A,https://p.scdn.co/mp3-preview/96c9bcdf1561e7b66302db57f44f48d07caddc9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851279d16fe1d25df29d9649d02
